base,onboard,cohort,days,r1,e1,r3,e3,r5,e5,r10,e10,r20,e20,r30,e30
XVG,2023-07-05,2023,1150,0.10059491617090321,0.12073372306139274,0.062060573282855414,0.06399278751463544,0.031638723634396904,0.023376097505790394,-0.17522985397512159,-0.17467197484013142,-0.3858842617631152,-0.38768443869479075,-0.38034072471606273,-0.37762998250045066
WLD,2023-07-24,2023,1131,0.04483141904409038,0.043031242112414825,-0.029825861430159084,-0.025520571002016212,0.08609670248240109,0.08475881395718443,0.07664875879955546,0.07630251384324738,-0.1809466469062615,-0.17661636244668022,-0.34892552797332343,-0.3633163375139541
PENDLE,2023-07-28,2023,1127,-0.09090909090909094,-0.0922469794343076,-0.10967979389032023,-0.10796137538196215,-0.12783707520549636,-0.10995564280545855,-0.11446448288553557,-0.11882548288897488,-0.3674395779658939,-0.2941418597478569,-0.23813029076186976,-0.24133745265432605
ARKM,2023-07-28,2023,1127,-0.04225092250922513,-0.04358881103444179,-0.06199261992619942,-0.060274201417841344,-0.13321033210332112,-0.1153288997032833,-0.22195571955719562,-0.22631671956063493,-0.3201107011070111,-0.24681298288897413,-0.296678966789668,-0.2998861286821243
AGLD,2023-07-29,2023,1126,-0.08301132578281134,-0.08069359960852518,-0.14017321785476344,-0.15661356171940777,-0.18161225849433704,-0.18195850345064513,-0.1689540306462357,-0.18800363907285378,-0.34603597601598923,-0.32470540859132824,-0.36069287141905393,-0.361413517547306
YGG,2023-08-05,2023,1119,0.17447179263776946,0.17384545263150608,-0.2633413199738619,-0.28239092840047997,-0.285776519276846,-0.28141102125163364,-0.3776954911783925,-0.3698537535553873,-0.5249401001960358,-0.520625109712711,-0.5188412110651275,-0.5131367418580911
DODOX,2023-08-08,2023,1116,-0.0788446526151444,-0.07258772193871033,-0.0944574551131927,-0.0934996950490703,-0.05698672911787661,-0.05265644465829533,-0.18345042935206868,-0.16211986192740768,-0.2256049960967994,-0.22632564222505147,-0.16182669789227166,-0.18098591396845787
BNT,2023-08-10,2023,1114,-0.11057225994180409,-0.10961449987768168,-0.20966698997736832,-0.20533670551778704,-0.2976075008082768,-0.2897657631852716,-0.34432589718719686,-0.34768372425910277,-0.3076301325573877,-0.29283957223450086,-0.31409634658907215,-0.3138183521644048
SEI,2023-08-17,2023,1107,-0.03143189755529696,-0.010101330130635966,-0.11874272409778808,-0.12210055116969398,-0.10302677532013982,-0.10030807294529587,-0.23282887077997672,-0.236036032672433,-0.26542491268917345,-0.26417198887702675,-0.18684516880093138,-0.18518295851252675
CYBER,2023-08-21,2023,1103,-0.11896974652493886,-0.1162510441500949,-0.20605069501226503,-0.19641376429521074,-0.24386753883892076,-0.2420480798400838,0.7499999999999998,0.7999223170052471,0.0020441537203597093,0.0045236266199525366,0.18928863450531463,0.1925354355054617
